Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C2,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"CT1, CT2, CT3",PZEM04-100A,3,PZEM04-100A,
D1,LED_D5.0mm,1,LED,
"H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,3,MountingHole,
J1,TerminalBlock_bornier-4_P5.08mm,1,Aliemtacion AC,
J2,TerminalBlock_bornier-6_P5.08mm,1,Bobinas,
P1,PinHeader_1x02_P2.54mm_Vertical,1,Header 2,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330Ω,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10kΩ,
S1,CONV_HLK-PM03,1,HLK-PM03,
SW1,SW_PUSH_6mm_H4.3mm,1,Button,
U1,MODULE_ESP32-DEVKITC-32D,1,ESP32-38Pines,
